Descripción del alimento principal,Descripción de la categoría,Energía (kcal),Proteína (g),Carbohidratos (g),"Azúcares, totales
(gramo)",Fibra dietética total (g),Grasa total (g),"Ácidos grasos, saturados totales (g)","Ácidos grasos, monoinsaturados totales (g)",Ácidos grasos poliinsaturados totales (g),Colesterol (mg),Retinol (mcg),"Vitamina A, RAE (mcg_RAE)","Caroteno, alfa (mcg)","Caroteno, beta (mcg)","Criptoxantina, beta (mcg)",Licopeno (mcg),Luteína + zeaxantina (mcg),Tiamina (mg),Riboflavina (mg),Niacina (mg),Vitamina B-6 (mg),Ácido fólico (mcg),"Folato, alimentos (mcg)","Folato, DFE (mcg_DFE)","Folato, total (mcg)","Colina, total (mg)",Vitamina B-12 (mcg),"Vitamina B-12, añadida
(mcg)",Vitamina C (mg),Vitamina D (D2 + D3) (mcg),Vitamina E (alfa-tocoferol) (mg),"Vitamina E, añadida
(mg)",Vitamina K (filoquinona) (mcg),Calcio (mg),Fósforo (mg),Magnesio (mg),"Hierro
(mg)","Zinc
(mg)",Cobre (mg),Selenio (mcg),Potasio (mg),Sodio (mg),Cafeína (mg),Teobromina (mg),Alcohol (gramos),"4:0
(gramo)","6:0
(gramo)","8:0
(gramo)","10:0
(gramo)","12:0
(gramo)","14:0
(gramo)","16:0
(gramo)","18:0
(gramo)","16:1
(gramo)","18:1
(gramo)","20:1
(gramo)","22:1
(gramo)","18:2
(gramo)","18:3
(gramo)","18:4
(gramo)","20:4
(gramo)","20:5 n-3
(gramo)","22:5 n-3
(gramo)","22:6 n-3
(gramo)","Agua
(gramo)"
Hojas de parra rellenas de arroz,"Platos de frijoles, guisantes y legumbres.",158,"5,9","23,91","0,2","4,3","4,29","0,592",1711,1683,0,0,0,0,0,0,0,0,"0,149","0,036","0,893","0,1",22,70,107,92,"17,9",0,0,"0,6",0,"0,77",0,"8,6",20,96,30,"2,12","0,79","0,163","3,7",239,229,0,0,0,0,0,0,0,0,"0,003","0,438","0,119","0,014",1668,"0,026",0,1411,"0,269",0,0,0,0,0,"64,53"
Hojas de parra rellenas de cordero y arroz,"Platos de frijoles, guisantes y legumbres.",162,"6,4","24,29","0,28","3,9","4,54","0,652",1813,1718,0,0,0,0,0,0,0,0,"0,098","0,037","0,917","0,07",0,45,45,45,"22,5",0,0,0,0,"1,35",0,6,53,102,51,"2,23","1,02","0,198","2,7",345,213,0,0,0,0,0,0,"0,002","0,001","0,004","0,483","0,123","0,014",1769,"0,028",0,1503,"0,213",0,0,0,0,0,"63,05"
Hojas de parra rellenas de ternera y arroz,"Platos de frijoles, guisantes y legumbres.",155,"5,81","23,02","0,27","4,5","4,63","0,641",1817,1787,0,0,0,0,0,0,0,0,"0,12","0,043","1,148","0,084",0,71,71,71,"19,9",0,0,"0,6",0,"0,84",0,"8,7",18,118,41,"1,8","0,85","0,173","2,7",257,211,0,0,0,0,0,0,"0,002","0,001","0,004","0,472","0,125","0,014",1773,"0,028",0,1517,"0,268",0,0,0,0,0,"65,2"
Hojas de remolacha,"Platos de frijoles, guisantes y legumbres.",162,"7,49","23,54","0,25","4,4","4,24","0,722",1741,1474,6,1,1,0,0,0,0,0,"0,177","0,052","1,17","0,161",22,77,115,99,"24,9","0,13",0,"0,3",0,"1,11",0,"5,1",25,108,33,"1,64","1,11","0,14","8,2",240,263,0,0,0,0,0,0,0,0,"0,012","0,516","0,161","0,027",1683,"0,025",0,1251,"0,215",0,"0,005",0,0,0,"63,3"
Hojas de taro,"Platos de frijoles, guisantes y legumbres.",185,"6,29","24,41","0,2","3,6","6,99","0,973",2885,2681,0,0,0,0,0,0,0,0,"0,123","0,029","0,641","0,083",21,43,79,64,"19,8",0,0,0,0,"1,79",0,"8,6",53,78,39,"2,47","0,94","0,182","3,6",317,299,0,0,0,0,0,0,0,0,"0,004","0,714","0,197","0,024",2812,"0,045",0,"2,343","0,334",0,0,0,0,0,"60,45"
Honda de Singapur,"Platos de frijoles, guisantes y legumbres.",179,"5,72","23,17","0,19","4,2","7,07","0,963","2,89","2,747",0,0,0,0,0,0,0,0,"0,145","0,035","0,865","0,097",21,68,104,89,"17,3",0,0,"0,6",0,"1,3",0,"11,3",19,93,29,"2,06","0,77","0,158","3,5",231,296,0,0,0,0,0,0,0,0,"0,004","0,703","0,199","0,024","2,817","0,045",0,"2,356","0,388",0,0,0,0,0,"62,53"
Horchata,Otras verduras con almidón,112,"4,18","18,7","2,14","3,7","3,04","0,753",1008,"0,963",2,11,21,8,84,59,0,331,"0,05","0,06","1,152","0,123",0,27,27,27,"28,4",0,0,"7,9",0,"0,56",0,"4,7",16,85,34,"1,11","0,66","0,106","0,6",260,155,0,0,0,"0,018","0,013","0,007","0,017","0,02","0,064","0,443","0,143","0,014","0,975","0,012",0,"0,852","0,111",0,"0,001",0,0,0,"72,94"
Hot dog con chile,"Frijoles, guisantes, legumbres",138,"6,74","17,29","6,17","3,3","5,22",2076,"2,326","0,543",19,0,1,0,7,2,62,7,"0,062","0,043","0,907","0,082",0,7,7,7,"30,5","0,28",0,0,"0,1","0,08",0,"0,4",33,95,25,"1,36","0,9","0,144","7,6",224,438,0,0,0,0,0,0,"0,015","0,01","0,149","1,156","0,661","0,259","2,05","0,004","0,004","0,364","0,178",0,0,0,0,0,"69,1"
Hot dog,"Frijoles, guisantes, legumbres",142,"6,05","17,84","1,32","6,1","5,58","0,779","2,241","2,141",0,0,7,0,81,1,4327,7,"0,131","0,057","0,528","0,144",0,103,103,103,25,0,0,"2,5",0,2,0,"8,2",31,100,39,"1,63","0,71","0,173","3,3",355,351,0,0,0,0,0,0,0,0,"0,003","0,582","0,153","0,018","2,185","0,034",0,1832,"0,305",0,0,0,0,0,"68,68"
Huevo de camarón foo yung,"Frijoles, guisantes, legumbres",195,"7,81","20,54","0,29","6,7","9,46",1269,3853,3708,0,0,0,0,0,0,0,0,"0,137","0,05","0,495","0,103",0,111,111,111,"27,5",0,0,1,0,"1,74",0,"16,6",26,128,41,"2,66","0,96","0,218","1,1",363,350,0,0,0,0,0,0,0,0,"0,005","0,922","0,267","0,032",3755,"0,061",0,3159,"0,545",0,0,0,0,0,"60,31"
huevo de cerdo foo yung,"Frijoles, guisantes, legumbres",206,"8,77","22,6","0,31","5,7","9,32",1286,3846,3597,0,0,0,0,0,0,0,0,"0,101","0,039","0,12","0,08",0,69,69,69,"31,6",0,0,0,0,"2,56",0,"12,2",82,102,57,"3,35","1,24","0,259","1,2",505,354,0,0,0,0,0,0,0,0,"0,005","0,941","0,264","0,032",3748,"0,061",0,3138,"0,456",0,0,0,0,0,"56,83"
Huevo de codorniz,"Frijoles, guisantes, legumbres",186,"8,37","23,79","2,97","7,7","6,82",1034,"2,88",2675,0,0,0,0,0,0,0,0,"0,162","0,102","0,753","0,122",0,37,37,37,"48,9",0,0,"1,2",0,"1,22",0,"12,8",47,170,48,"2,02",1,"0,236","1,8",417,299,0,0,0,0,0,0,0,0,"0,011","0,73","0,241","0,035","2,595","0,042",0,"2,254","0,354",0,0,0,0,0,"58,4"
huevo de gallina foo yung,"Frijoles, guisantes, legumbres",185,"7,66","24,1","1,31",8,"6,83","0,975","2,71","2,612",0,0,0,0,0,0,0,0,"0,106","0,058","0,514","0,173",0,48,48,48,"33,2",0,0,"1,7",0,"2,03",0,"9,4",69,149,52,"2,45","0,86","0,263","4,9",441,311,0,0,0,0,0,0,0,0,"0,003","0,742","0,178","0,021",2644,"0,041",0,"2,185","0,426",0,0,0,0,0,"58,98"
Huevo de ganso,"Frijoles, guisantes, legumbres",136,"7,96","25,04","1,36","8,3","0,81","0,172","0,152","0,3",0,0,0,0,0,0,0,0,"0,111","0,061","0,534","0,18",0,50,50,50,"34,5",0,0,"1,8",0,"0,92",0,"3,5",72,155,54,"2,53","0,9","0,273","5,1",458,323,0,0,0,0,0,0,0,0,0,"0,168","0,004",0,"0,152",0,0,"0,132","0,168",0,0,0,0,0,"63,67"
huevo de pato,"Frijoles, guisantes, legumbres",135,"8,7","24,72","3,08",8,"0,6","0,208","0,245","0,29",0,0,0,0,0,0,0,0,"0,168","0,106","0,782","0,127",0,39,39,39,"50,8",0,0,"1,3",0,"0,03",0,"6,8",48,177,50,"2,08","1,03","0,245","1,8",433,311,0,0,0,0,0,0,0,0,"0,008","0,137","0,063","0,013","0,02",0,0,"0,138","0,085",0,0,0,0,0,"63,27"
Huevo de ternera foo yung,"Frijoles, guisantes, legumbres",189,"8,34","23,78","0,31","8,3","7,08","0,997",2861,"2,716",0,0,0,0,0,0,0,0,"0,181","0,054","0,322","0,167",0,147,147,147,"32,2",0,0,"0,5",0,"2,09",0,"9,7",39,135,51,"1,96","0,94","0,202","4,6",386,217,0,0,0,0,0,0,0,0,"0,003","0,747","0,191","0,023","2,79","0,044",0,"2,31","0,404",0,0,0,0,0,"59,15"
Huevo entero encurtido,"Frijoles, guisantes, legumbres",177,"8,06","21,19","0,3","6,9","6,97","0,936","2,793",2754,0,0,0,0,0,0,0,0,"0,141","0,051","0,51","0,106",0,115,115,115,"28,4",0,0,"1,1",0,"1,26",0,"14,3",26,132,42,"2,74",1,"0,225","1,1",375,218,0,0,0,0,0,0,0,0,"0,003","0,684","0,195","0,023","2,723","0,044",0,"2,311","0,44",0,0,0,0,0,"62,21"
Huevo entero frito con aceite,"Frijoles, guisantes, legumbres",177,"8,06","21,19","0,3","6,9","6,97","0,936","2,793",2754,0,0,0,0,0,0,0,0,"0,141","0,051","0,51","0,106",0,115,115,115,"28,4",0,0,"1,1",0,"1,26",0,"14,3",26,132,42,"2,74",1,"0,225","1,1",375,218,0,0,0,0,0,0,0,0,"0,003","0,684","0,195","0,023","2,723","0,044",0,"2,311","0,44",0,0,0,0,0,"62,21"
Huevo entero frito con aceite en aerosol,"Frijoles, guisantes, legumbres",189,"8,34","23,78","0,31","8,3","7,08","0,997",2861,"2,716",0,0,0,0,0,0,0,0,"0,181","0,054","0,322","0,167",0,147,147,147,"32,2",0,0,"0,5",0,"2,09",0,"9,7",39,135,51,"1,96","0,94","0,202","4,6",386,217,0,0,0,0,0,0,0,0,"0,003","0,747","0,191","0,023","2,79","0,044",0,"2,31","0,404",0,0,0,0,0,"59,15"
Huevo entero frito con mantequilla,"Frijoles, guisantes, legumbres",139,"8,92","25,44","0,33","8,9","0,62","0,136","0,111","0,233",0,0,0,0,0,0,0,0,"0,194","0,058","0,344","0,178",0,157,157,157,"34,4",0,0,"0,6",0,"0,92",0,"3,4",41,144,55,"2,08","1,01","0,215","4,9",413,232,0,0,0,0,0,0,0,0,0,"0,131","0,004",0,"0,111",0,0,"0,104","0,128",0,0,0,0,0,"63,27"
Huevo entero frito con margarina,"Frijoles, guisantes, legumbres",126,"8,62","22,66","0,32","7,4","0,5","0,072","0,039","0,273",0,0,0,0,0,0,0,0,"0,151","0,055","0,546","0,113",0,123,123,123,"30,3",0,0,"1,1",0,"0,03",0,"8,4",28,141,45,"2,92","1,06","0,241","1,2",401,233,0,0,0,0,0,0,0,0,0,"0,064","0,008",0,"0,039",0,0,"0,106","0,167",0,0,0,0,0,"66,54"
Huevo entero,Otras frutas y ensaladas de frutas.,97,"2,2","23,38","11,2","10,4","0,7","0,059","0,086","0,411",0,0,64,0,743,41,0,0,0,"0,13","1,5","0,1",0,14,14,14,"7,6",0,0,30,0,"0,02",0,"0,7",12,68,29,"1,6","0,1","0,086","0,6",348,28,0,0,0,0,0,0,0,0,0,"0,045","0,014",0,"0,086",0,0,"0,41","0,001",0,0,0,0,0,"72,93"
Huevo foo yung,Otras verduras con almidón,123,"1,04","26,26","10,65","4,7","2,77","0,713","0,936","0,794",2,11,11,0,5,0,0,20,"0,096","0,028","0,828","0,103",0,12,12,12,"9,7",0,0,"23,9",0,"0,48",0,"2,6",17,29,24,"0,53","0,12","0,081","0,6",475,123,0,0,0,"0,018","0,013","0,007","0,017","0,02","0,064","0,394","0,153","0,016","0,9","0,012",0,"0,695","0,099",0,"0,001",0,0,0,"68,72"
huevo,Comida para bebés: mezclas,76,"1,87","13,36","8,82","1,1","1,83","0,911","0,346","0,063",5,18,21,1,26,6,0,21,"0,031","0,123","0,335","0,103",0,10,10,10,"8,5","0,14",0,"18,1","0,5","0,33","0,08","0,9",51,48,14,"0,17","0,2","0,028","1,3",183,17,0,0,0,"0,036","0,025","0,016","0,035","0,044","0,145","0,429","0,143","0,028","0,302",0,0,"0,052","0,017",0,0,0,0,0,"82,29"
Huevo,Comida para bebés: mezclas,78,"1,07","17,96","10,11",2,"0,41","0,082","0,083","0,116",0,0,4,1,42,9,0,39,"0,03","0,052","0,494","0,14",0,12,12,12,"5,4",0,0,"28,3",0,"0,51","0,14","1,4",6,27,19,"0,4","0,16","0,052","1,6",202,2,0,0,0,0,0,0,0,"0,001",0,"0,065","0,005","0,002","0,079",0,0,"0,103","0,015",0,0,0,0,0,"79,99"
huevos rancheros,Otras verduras con almidón,166,"1,5","33,59","1,1","3,1","2,99","0,776",1019,"0,853",2,12,15,0,27,10,0,0,"0,085","0,036","0,719","0,191",0,22,22,22,"21,6",0,0,"11,1",0,"1,75",0,"3,8",31,58,28,"0,43","0,3","0,142","0,7",449,143,0,0,0,"0,019","0,014","0,008","0,018","0,022","0,069","0,446","0,152","0,015","0,982","0,013",0,"0,745","0,109",0,"0,001",0,0,0,"60,65"
Hummus,Licores y cócteles,87,"0,42","6,28","5,58","0,2","0,36","0,062","0,07","0,132",1,0,2,2,15,1,0,8,"0,038","0,016","0,106","0,009",0,12,12,12,"5,8",0,0,"23,9",0,"0,17",0,0,9,13,7,"0,04","0,04","0,026","0,1",102,1,0,0,"8,3",0,0,0,0,0,0,"0,057","0,005","0,008","0,062",0,0,"0,103","0,029",0,0,0,0,0,"84,49"
idli,"Galletas, muffins, panes rápidos",363,"6,7","46,47","10,01","2,7","17,05",10632,"2,241",1984,2,16,16,0,0,0,0,0,"0,408","0,285",3418,"0,07",48,28,109,76,"1,8",0,0,"0,2",0,"0,44",0,"4,4",69,436,17,"2,66","0,49","0,1",11,192,884,0,0,0,"0,004","0,028","0,33","0,268","2,915","0,944","3,39",2656,"0,009","2,214","0,014",0,1794,"0,186",0,"0,004",0,0,0,"26,64"
Injera,Sándwiches de huevo/desayuno,224,"6,2","16,98","3,88","0,8","14,68",6314,"4,491","2,596",16,70,73,0,34,0,0,0,"0,181","0,2",1923,"0,058",14,11,35,25,"14,7","0,3",0,0,"0,2","0,74",0,"6,2",80,206,12,"1,01","0,66","0,05","8,4",152,451,0,0,0,"0,039","0,048","0,148","0,131",1013,"0,507",2641,"1,71","0,072",4356,"0,052","0,001","2,312","0,22",0,"0,016",0,"0,003",0,"60,34"
inmersión de capa,Galletas y brownies,440,"3,23","63,26","40,32","1,6","19,35","11,29",3966,3013,0,0,0,0,0,0,0,14,"0,347","0,401",3539,"0,328",18,7,37,24,"13,7","0,07",0,0,0,"1,96",0,4,32,96,38,"2,49","0,67","0,18","9,3",227,210,2,61,0,"0,002","0,015","0,242","0,269",3404,1286,"5,03",1002,"0,026",3935,"0,005",0,2859,"0,154",0,"0,001",0,0,0,"13,02"
Inmersión,Galletas y brownies,406,"7,05","70,54","21,16","3,5","10,58",5291,"2,694","1,67",0,1,1,0,0,0,0,12,"0,541","0,493",3861,"0,074",98,20,186,118,27,"0,19",0,0,0,"0,45",0,"3,8",0,193,28,0,"0,61","0,101","23,9",307,370,0,0,0,"0,003","0,013","0,207","0,233","2,948",1035,"0,651","0,199","0,012",2681,0,0,1552,"0,118",0,0,0,0,0,"9,79"
izquierda,Alimentación infantil: snacks y dulces,395,"11,37","80,53","15,6","1,5","2,97","0,381",1808,"0,579",2,7,7,2,3,0,0,42,"0,211","0,124",3084,"0,468",7,16,28,23,"24,4","0,02",0,"2,3","0,1","0,24",0,"3,6",320,142,51,"4,72","4,03","0,167","7,3",458,300,0,0,0,"0,003","0,001","0,001","0,002","0,005","0,008","0,262","0,068","0,007",1762,"0,034","0,001","0,486","0,091",0,0,"0,001",0,0,"3,27"
Jagerbomb,Alimentación infantil: snacks y dulces,420,"9,88","69,79","24,55",3,"11,24",1581,6274,"2,214",10,16,17,3,7,0,0,89,"0,891",1808,9806,"3,03",52,20,107,71,31,"0,26",0,8,"0,2","0,46",0,"7,6",690,182,56,"11,52","7,62","0,138","11,2",410,280,0,0,0,"0,046","0,011","0,014","0,029","0,03","0,139","0,794","0,401","0,066",6118,"0,078","0,002",2087,"0,122",0,0,"0,002",0,0,"5,86"
Jai,Galletas y brownies,483,"4,5","72,1","39,3","1,5",20,"2,979",8437,7551,0,0,0,0,0,0,0,1,"0,261","0,243","2,69","0,018",46,4,82,50,"4,1",0,0,0,0,"1,6",0,5,27,75,14,"2,21","0,4","0,114",3,91,388,0,0,0,0,0,0,0,0,"0,02",1976,"0,979","0,08",8338,0,0,7011,"0,52",0,0,0,0,0,"2,2"
Jambalaya con carne y arroz,Galletas y brownies,514,"5,37","63,78","21,65","1,3","26,22",8105,6708,8326,0,0,0,0,1,0,0,29,"0,353","0,314",3275,"0,071",61,20,124,81,"0,9",0,0,0,0,"2,44",0,11,13,66,14,"2,98","0,49","0,09","6,2",88,353,0,0,0,"0,086","0,067","0,043","0,1","0,126","0,456",5143,1842,"0,089",6515,"0,053","0,001",7374,"0,918",0,"0,017","0,001","0,002",0,"3,6"
Jamón,Galletas y brownies,446,"6,9","74,1","23,3","1,1","13,8",3463,7666,1873,0,0,0,0,0,0,0,2,"0,35","0,326","3,47","0,022",89,14,165,103,12,"0,05",0,0,0,"0,12",0,"5,9",43,114,18,"2,75","0,64","0,157",7,100,335,0,0,0,0,0,0,0,0,"0,067",1797,1591,"0,003",7663,0,0,1776,"0,096",0,0,0,0,0,"3,9"
Jamón bebé niño,Galletas y brownies,509,3,"70,09","41,1","0,9","24,1","16,2","2,4","4,5",0,0,0,0,0,0,0,6,"0,28","0,15","1,7","0,014",50,9,94,59,"3,5",0,0,0,0,"0,93",0,6,6,5,7,"1,57","0,24","0,052","11,3",96,257,0,0,0,"0,013","0,059","0,708","0,603",8232,2528,1373,"2,647",0,"2,4",0,0,4261,"0,239",0,0,0,0,0,2
Jamón de pavo,Galletas y brownies,450,"6,2","68,7","24,66","2,8","18,1","4,519",10025,2543,0,5,5,0,0,0,0,31,"0,267","0,23","2,227","0,066",52,7,95,59,12,0,0,"0,5",0,"0,26",0,8,37,138,33,"2,58","0,79","0,134","9,8",142,520,0,0,0,0,0,0,0,"0,003","0,086","2,383",2031,"0,003","10,022",0,0,"2,413","0,129",0,0,0,0,0,"5,7"
Jamón o cerdo con relleno,Galletas y brownies,449,"4,8","69,9","31,65","2,9",18,"2,693","7,55",6784,0,0,1,0,3,18,2,49,"0,46","0,211",3236,"0,026",39,7,74,46,12,0,0,"0,3",0,"1,52",0,7,54,122,17,"4,07","0,49","0,151","4,4",175,273,0,0,0,0,0,0,0,"0,001","0,019",1798,"0,867","0,071",7462,0,0,6303,"0,464",0,0,0,0,0,"6,5"
Jamón o cerdo con salsa,Galletas y brownies,457,"5,72","67,56","31,74","3,5","20,92",7659,"10,011","2,169",0,4,4,0,0,0,0,28,"0,217","0,197","1,8","0,059",40,8,76,48,"14,4",0,0,"0,4",0,"0,26",0,"7,4",36,137,52,"2,71","0,99","0,268","8,5",195,399,15,115,0,0,0,0,0,"0,002","0,07",3561,3924,"0,017","9,994",0,0,2054,"0,115",0,0,0,0,0,"4,51"
Jamón o cerdo con salsa a base de tomate,Galletas y brownies,450,"6,2","68,7","24,66","2,8","18,1","4,519",10025,2543,0,5,5,0,0,0,0,31,"0,267","0,23","2,227","0,066",52,7,95,59,12,0,0,"0,5",0,"0,26",0,8,37,138,33,"2,58","0,79","0,134","9,8",142,520,0,0,0,0,0,0,0,"0,003","0,086","2,383",2031,"0,003","10,022",0,0,"2,413","0,129",0,0,0,0,0,"5,7"
Jamón o cerdo con salsa de champiñones,Galletas y brownies,450,"6,2","68,7","24,66","2,8","18,1","4,519",10025,2543,0,5,5,0,0,0,0,31,"0,267","0,23","2,227","0,066",52,7,95,59,12,0,0,"0,5",0,"0,26",0,8,37,138,33,"2,58","0,79","0,134","9,8",142,520,0,0,0,0,0,0,0,"0,003","0,086","2,383",2031,"0,003","10,022",0,0,"2,413","0,129",0,0,0,0,0,"5,7"
Jamón o cerdo y arroz,Galletas y brownies,365,"4,02","64,62","32,14","16,1","10,04","4,09",3332,"2,269",20,86,92,0,68,0,0,25,"0,234","0,404",1537,"0,044",32,21,76,54,"13,1","0,08",0,0,0,"1,1",0,"11,3",0,92,32,"1,45","0,61","0,131","24,7",274,562,0,0,0,0,0,0,0,"0,005","0,015","2,402","1,519","0,009","3,312","0,011",0,2086,"0,181",0,"0,001",0,"0,001",0,"19,46"
Jamón o cerdo y patatas con salsa,Galletas y brownies,523,"10,34","50,52",0,"3,4","31,03",8621,7735,11486,17,0,0,0,0,0,0,31,"0,34","0,222",5538,"0,112",48,35,117,83,"38,5",0,0,0,0,"3,51",0,"34,8",0,132,49,"2,48","1,05","0,199","16,6",202,448,0,0,0,0,0,0,0,"0,026","0,061",5927,1843,"0,025",7565,"0,145",0,10494,"0,992",0,0,0,0,0,"6,17"
Jamón o cerdo y patatas con salsa de queso,Galletas y brownies,492,"5,1","65,36","32,9",2,"24,72",8091,6272,8417,0,0,0,0,0,0,0,1,"0,292","0,297",2665,"0,058",29,43,92,72,"10,5","0,03",0,0,0,"2,01",0,"33,7",21,109,41,"5,58","0,72","0,323","3,9",171,311,11,83,0,0,0,"0,003","0,01","0,011","0,064",4451,3308,"0,033",6188,"0,033","0,007","7,519","0,877",0,"0,009",0,0,0,"3,57"
Jamón o cerdo,Galletas y brownies,348,"3,7","70,9","46,36","4,6","7,3","1,123",3003,"2,772",0,9,9,0,1,0,0,8,"0,158","0,217",1874,"0,075",25,10,53,35,"14,6","0,09",0,"0,3",0,"0,65",0,"5,8",64,62,27,"2,9","0,39","0,147","3,3",207,350,0,0,0,"0,002",0,0,"0,001",0,"0,013","0,747","0,355","0,029","2,966",0,0,2583,"0,182",0,0,0,0,0,"16,5"
Jamón y arroz con salsa de champiñones,Galletas y brownies,365,"10,6","59,7","25,39",1,"9,1",3069,3754,1422,221,0,3,9,22,8,0,266,"0,284","0,428","2,104","0,122",23,37,76,60,92,"0,75",0,"3,7","0,6","0,63",0,"0,2",47,173,12,"3,58","1,14","0,095","21,1",113,147,0,0,0,0,0,"0,003","0,003","0,003","0,034","2,209","0,771","0,293",3422,"0,027","0,003",1206,"0,038",0,"0,139","0,004",0,"0,036","19,5"
Jamón y fideos con nata o salsa blanca,Galletas y brownies,514,"5,37","63,78","21,65","1,3","26,22",8105,6708,8326,0,0,0,0,1,0,0,29,"0,353","0,314",3275,"0,071",61,20,124,81,"0,9",0,0,0,0,"2,44",0,11,13,66,14,"2,98","0,49","0,09","6,2",88,353,0,0,0,"0,086","0,067","0,043","0,1","0,126","0,456",5143,1842,"0,089",6515,"0,053","0,001",7374,"0,918",0,"0,017","0,001","0,002",0,"3,6"
Jamón y fideos,Galletas y brownies,345,"2,77","61,58","38,73","11,1","9,68","2,766",3432,2581,0,0,0,0,0,0,0,7,"0,178","0,247",1441,"0,019",34,8,66,42,"13,9","0,02",0,0,0,"0,59",0,8,0,59,31,"1,99","0,46","0,178","12,9",143,290,10,97,0,0,0,0,0,0,"0,005","1,35",1386,"0,021",3383,"0,028",0,"2,197","0,384",0,0,0,0,0,"24,83"
Jamón y hortalizas,Galletas y brownies,401,"2,94","63,55","47,22","1,5","16,95",4885,8993,"2,242",8,10,10,0,0,0,0,3,"0,133","0,113","0,915","0,02",17,6,36,24,"8,4","0,04",0,0,0,"0,86",0,"3,2",18,90,26,"1,83","0,5","0,212","3,5",173,234,2,79,0,0,0,0,0,0,"0,091","2,294","2,52","0,005",8983,"0,003",0,"2,11","0,127",0,"0,002",0,0,0,"15,31"
Jamón y verduras incluyendo zanahorias,Galletas y brownies,405,"4,8","63,9","36,61","2,1","16,3",4235,8965,"2,259",17,20,20,0,0,0,0,6,"0,255","0,21",1721,"0,035",35,12,72,47,10,"0,07",0,0,0,"0,15",0,"6,5",29,101,31,"2,25","0,72","0,224","6,3",149,286,2,78,0,"0,001",0,0,0,0,"0,078","2,176",1973,"0,011",8946,"0,006",0,"2,09","0,159",0,"0,004",0,0,"0,001","13,6"
jamón,Galletas y brownies,450,"3,9","73,4","39,81","1,6","16,8","4,183","6,73",5035,0,1,1,0,0,0,0,3,"0,373","0,188",2843,"0,018",48,6,87,54,"6,7",0,0,0,0,"1,06",0,4,46,109,21,"3,5","0,47","0,218","2,6",199,244,8,61,0,0,0,0,0,"0,008","0,032","2,263",1832,"0,063",6655,0,0,4677,"0,346",0,0,0,0,0,"5,1"
jarabe de arándanos,Galletas y brownies,451,"5,97","67,49","32,84",3,"17,91",5962,5422,5641,0,0,0,0,0,0,0,29,"0,263","0,185",1982,"0,022",49,12,96,62,"4,9",0,0,0,0,"1,47",0,"4,1",0,63,32,"3,22","0,59","0,204",6,134,418,13,105,0,0,0,0,0,0,"0,038",3235,"2,614","0,035",5387,0,0,"5,31","0,33",0,0,0,0,0,"7,36"
jarabe de chocolate,Galletas y brownies,433,"6,6","72,7","37,43","3,4","14,2","4,241",4865,4153,2,3,3,0,0,0,0,13,"0,203","0,266",2858,"0,051",39,8,75,47,"14,3","0,09",0,0,0,"0,72",0,"2,4",31,132,53,"4,01","1,09","0,463","5,7",210,580,10,354,0,"0,001","0,011","0,128","0,102","0,76","0,305",1796,"1,125","0,048",4807,"0,001",0,3866,"0,268","0,001","0,006","0,003",0,"0,002","4,5"
jarabe de maiz,Galletas y brownies,507,"4,5","67,87",32,"2,3","24,2","16,5","2,6","3,6",0,0,0,0,0,0,0,8,"0,29","0,19","2,5","0,023",49,9,92,58,7,"0,02",0,0,0,"2,79",0,"6,9",15,75,25,3,"0,3","0,267","11,8",95,380,5,159,0,"0,004","0,001","0,001","0,001","0,001","0,252","12,324",3889,"0,018",2582,0,0,3386,"0,213",0,0,0,0,0,2
jarabe para panqueques,Galletas y brownies,450,"6,2","68,7","24,66","2,8","18,1","4,519",10025,2543,0,5,5,0,0,0,0,31,"0,267","0,23","2,227","0,066",52,7,95,59,12,0,0,"0,5",0,"0,26",0,8,37,138,33,"2,58","0,79","0,134","9,8",142,520,0,0,0,0,0,0,0,"0,003","0,086","2,383",2031,"0,003","10,022",0,0,"2,413","0,129",0,0,0,0,0,"5,7"
Jarabe,Galletas y brownies,497,"4,33","68,2",46,"2,7","24,52",5454,16076,2471,0,0,0,0,0,0,0,3,"0,115","0,12",1937,0,34,12,69,46,"3,3","0,02",0,0,0,"1,89",0,"6,2",16,69,36,"7,8","0,78","0,337","8,1",137,351,6,190,0,0,0,0,0,0,"0,021",2774,"2,436",0,16042,"0,034",0,"2,418","0,053",0,0,0,0,0,"1,65"
Jícama,Galletas y brownies,460,"3,02","61,22","45,16","5,1","22,55","20,099","1,61","0,81",0,0,0,0,0,0,0,0,"0,02","0,06","0,22","0,096",0,3,3,3,"9,1",0,0,0,0,"0,19",0,"1,1",5,68,29,"0,82","0,73","0,269","6,8",123,241,0,0,0,0,"0,128","1,58",1256,10009,3953,1987,1186,"0,004",1606,0,0,"0,762","0,048",0,0,0,0,0,"11,5"
Joe descuidado,Galletas y brownies,562,"8,1","52,9","30,9","3,5","35,3","19,2","8,4","6,3",0,0,0,0,0,0,0,8,"0,14","0,09","4,5","0,102",16,47,74,63,"17,5","0,01",0,0,0,"4,32",0,"4,7",35,37,17,"2,1","0,2","0,585","7,3",217,371,21,186,0,"0,001",0,0,0,0,"0,197",13805,4675,"0,025",8251,"0,123",0,6058,"0,242",0,0,0,0,0,"1,8"
